Date,Course,Venue,Attendees
08/08/2017,Excel Formulas and Functions,Dover Court,3
08/08/2017,Power Query,Dover Court,5
22/10/2017,Excel Level 3,Hampton,5
19/05/2017,Excel VBA,Surrey House,3
16/07/2017,Power BI Introduction,Surrey House,9
19/04/2017,Mastering DAX,Surrey House,5
01/12/2017,Power Query & Power Pivot,Hampton,3
11/01/2017,Excel Level 2,Hampton,5
09/06/2017,Excel Level 3,Dover Court,3
11/04/2017,Mastering DAX,Hampton,4
03/12/2017,Power Query & Power Pivot,Surrey House,5
18/09/2017,Excel Level 3,Surrey House,3
09/12/2017,Excel PivotTables,Surrey House,5
16/12/2017,Excel Dashboards,Surrey House,5
27/09/2017,Power Query & Power Pivot,Surrey House,7
09/04/2017,Excel Dashboards,Warwick Street,5
12/11/2017,Excel Dashboards,Warwick Street,2
05/02/2017,Excel PivotTables,Surrey House,7
27/05/2017,Excel PivotTables,Dover Court,3
26/07/2017,Excel Level 2,Hampton,3
12/06/2017,Mastering DAX,Hampton,5
19/06/2017,Power Query,Surrey House,7
31/10/2017,Power Query,Surrey House,1
20/07/2017,Excel Dashboards,Surrey House,3
16/09/2017,Excel Dashboards,Hampton,7
19/05/2017,Excel Level 1,Warwick Street,2
12/07/2017,Excel Level 1,Surrey House,3
13/02/2017,Power BI Introduction,Dover Court,8
11/12/2017,Excel Level 3,Surrey House,3
04/05/2017,Excel Dashboards,Hampton,3
23/09/2017,Excel Dashboards,Dover Court,5
14/12/2017,Power Query,Surrey House,3
07/12/2017,Mastering DAX,Warwick Street,5
07/07/2017,Mastering DAX,Surrey House,5
10/09/2017,Excel Formulas and Functions,Warwick Street,5
06/12/2017,Excel Best Practise & Tips,Hampton,5
19/11/2017,Excel Level 3,Dover Court,3
18/09/2017,Power Query & Power Pivot,Hampton,5
11/03/2017,Power Query,Hampton,5
29/06/2017,Excel Level 2,Surrey House,7
11/10/2017,Power Query,Warwick Street,3
08/02/2017,Excel Level 2,Warwick Street,3
07/11/2017,Power BI Introduction,Surrey House,3
08/07/2017,Excel Level 1,Dover Court,5
01/12/2017,Power Query,Dover Court,3
25/11/2017,Excel VBA,Hampton,5
13/12/2017,Mastering DAX,Surrey House,10
31/08/2017,Excel Level 2,Warwick Street,7
20/12/2017,Power Query,Hampton,9
04/12/2017,Excel Level 3,Hampton,3
03/09/2017,Excel Formulas and Functions,Surrey House,3
02/03/2017,Excel Level 2,Dover Court,3
20/05/2017,Excel Level 2,Hampton,2
02/12/2017,Excel VBA,Warwick Street,3
16/07/2017,Power Query,Surrey House,2
09/04/2017,Excel Level 2,Surrey House,3
09/08/2017,Power Query & Power Pivot,Hampton,3
25/06/2017,Power Query & Power Pivot,Surrey House,5
25/11/2017,Power Query,Warwick Street,2
22/07/2017,Excel VBA,Dover Court,3
02/01/2017,Excel Level 1,Hampton,5
22/09/2017,Power Query & Power Pivot,Surrey House,3
16/09/2017,Power Query,Dover Court,3
19/01/2017,Excel Level 2,Surrey House,3
14/09/2017,Power Query & Power Pivot,Surrey House,5
17/11/2017,Power Query,Warwick Street,9
07/12/2017,Excel Level 1,Hampton,5
16/04/2017,Power Query,Dover Court,3
24/06/2017,Excel VBA,Surrey House,2
02/05/2017,Excel Level 2,Surrey House,3
05/12/2017,Excel Dashboards,Surrey House,3
16/05/2017,Power Query,Dover Court,1
03/04/2017,Mastering DAX,Surrey House,3
15/03/2017,Excel Level 1,Dover Court,10
25/12/2017,Power Query,Warwick Street,3
04/03/2017,Excel Best Practise & Tips,Warwick Street,9
25/01/2017,Power Query,Surrey House,3
14/12/2017,Power Query,Hampton,5
18/01/2017,Excel Level 2,Surrey House,10
13/07/2017,Excel Level 2,Dover Court,5
29/05/2017,Excel VBA,Warwick Street,5
24/11/2017,Excel Level 3,Surrey House,3
16/12/2017,Excel Level 2,Dover Court,3
31/10/2017,Excel Level 2,Surrey House,2
26/11/2017,Power Query,Hampton,3
29/11/2017,Excel Level 1,Hampton,10
11/05/2017,Excel VBA,Hampton,3
25/12/2017,Excel Level 3,Dover Court,7
25/11/2017,Excel Level 1,Warwick Street,5
19/10/2017,Excel Dashboards,Surrey House,5
28/12/2017,Excel Level 2,Dover Court,5
13/12/2017,Excel Level 2,Surrey House,3
09/05/2017,Excel Dashboards,Hampton,3
26/05/2017,Excel Dashboards,Surrey House,5
27/01/2017,Excel Level 2,Warwick Street,3
27/11/2017,Power Query,Dover Court,3
01/09/2017,Power Query & Power Pivot,Surrey House,5
03/10/2017,Excel Dashboards,Warwick Street,5
28/07/2017,Excel Level 2,Dover Court,1
06/08/2017,Excel Level 1,Surrey House,5
19/05/2017,Excel Level 3,Hampton,5
13/04/2017,Excel Dashboards,Hampton,5
01/09/2017,Power Query & Power Pivot,Warwick Street,3
27/11/2017,Excel Level 2,Hampton,3
06/12/2017,Power Query,Surrey House,1
05/07/2017,Power BI Introduction,Surrey House,3
27/12/2017,Excel Level 2,Warwick Street,3
07/06/2017,Power Query,Surrey House,3
28/06/2017,Excel VBA,Warwick Street,3
13/04/2017,Excel VBA,Dover Court,7
10/02/2017,Excel Level 2,Dover Court,4
05/05/2017,Power Query & Power Pivot,Surrey House,5
26/11/2017,Excel Dashboards,Surrey House,2
12/07/2017,Excel Level 2,Dover Court,3
09/04/2017,Excel Dashboards,Surrey House,7
30/11/2017,Power Query,Surrey House,5
13/08/2017,Mastering DAX,Dover Court,2
03/12/2017,Excel Level 2,Dover Court,9
27/12/2017,Excel Dashboards,Dover Court,10
21/03/2017,Excel Level 3,Hampton,9
09/08/2017,Power Query,Warwick Street,5
11/04/2017,Excel Level 2,Surrey House,7
27/01/2017,Excel Level 2,Surrey House,3
20/12/2017,Power Query,Dover Court,5
31/12/2017,Power Query,Hampton,5
31/10/2017,Power Query,Warwick Street,3
07/01/2017,Excel Best Practise & Tips,Dover Court,2
16/02/2017,Excel Dashboards,Surrey House,3
14/04/2017,Power Query & Power Pivot,Dover Court,1
14/12/2017,Mastering DAX,Surrey House,5
25/08/2017,Excel Formulas and Functions,Hampton,3
13/08/2017,Excel Level 2,Warwick Street,5
05/02/2017,Power Query,Warwick Street,3
08/01/2017,Power Query,Warwick Street,3
15/11/2017,Excel VBA,Hampton,5
17/12/2017,Excel PivotTables,Warwick Street,2
27/11/2017,Power Query & Power Pivot,Warwick Street,3
22/08/2017,Excel Level 2,Surrey House,3
27/01/2017,Power Query & Power Pivot,Hampton,3
18/11/2017,Mastering DAX,Surrey House,3
15/01/2017,Excel Formulas and Functions,Warwick Street,7
23/08/2017,Excel Dashboards,Hampton,1
03/12/2017,Excel Dashboards,Hampton,3
04/01/2017,Excel Level 3,Dover Court,6
07/09/2017,Power Query & Power Pivot,Dover Court,3
01/12/2017,Power Query & Power Pivot,Warwick Street,5
25/09/2017,Power Query,Surrey House,6
04/01/2017,Mastering DAX,Warwick Street,7
21/01/2017,Power Query & Power Pivot,Hampton,3
09/12/2017,Excel Dashboards,Warwick Street,3
05/12/2017,Excel VBA,Hampton,5
12/10/2017,Power Query,Dover Court,7
25/12/2017,Excel Level 1,Surrey House,3
16/04/2017,Power Query,Dover Court,3
15/02/2017,Power Query,Surrey House,5
01/12/2017,Excel Level 2,Hampton,5
06/05/2017,Excel Level 2,Dover Court,7
26/10/2017,Power Query,Surrey House,5
17/01/2017,Power Query,Surrey House,5
06/07/2017,Power Query,Surrey House,3
01/12/2017,Excel Dashboards,Warwick Street,3
16/12/2017,Excel Level 1,Surrey House,1
10/11/2017,Power Query & Power Pivot,Hampton,5
07/06/2017,Power Query & Power Pivot,Hampton,3
29/10/2017,Excel Level 1,Surrey House,5
28/05/2017,Excel Formulas and Functions,Surrey House,5
18/05/2017,Excel Level 2,Dover Court,2
26/01/2017,Excel Level 3,Surrey House,5
10/03/2017,Mastering DAX,Warwick Street,1
19/07/2017,Power Query,Warwick Street,3
27/12/2017,Power Query & Power Pivot,Surrey House,5
30/05/2017,Excel Level 1,Surrey House,5
06/02/2017,Excel Level 2,Surrey House,5
14/12/2017,Excel Level 3,Surrey House,5
16/08/2017,Power Query,Dover Court,10
27/12/2017,Excel Level 2,Surrey House,5
01/03/2017,Excel Level 1,Hampton,5
15/09/2017,Excel VBA,Hampton,3
05/05/2017,Excel VBA,Surrey House,7
29/12/2017,Excel VBA,Dover Court,5
04/06/2017,Excel Level 3,Dover Court,3
05/03/2017,Excel Level 1,Hampton,3
31/03/2017,Excel PivotTables,Surrey House,8
17/01/2017,Excel Dashboards,Hampton,7
16/12/2017,Excel Level 2,Surrey House,7
10/12/2017,Excel Level 3,Hampton,3
15/12/2017,Excel Level 1,Hampton,7
23/03/2017,Excel Level 2,Hampton,5
09/08/2017,Excel Dashboards,Warwick Street,5
19/05/2017,Power Query,Dover Court,5
02/09/2017,Power Query,Warwick Street,5
28/12/2017,Excel Dashboards,Hampton,2
22/12/2017,Excel Level 2,Hampton,3
17/08/2017,Power Query,Surrey House,5
03/08/2017,Excel Level 3,Dover Court,9
31/10/2017,Mastering DAX,Surrey House,5
13/11/2017,Power Query,Dover Court,7
31/03/2017,Power Query,Surrey House,10
22/12/2017,Power Query,Surrey House,3
01/08/2017,Excel Level 2,Warwick Street,3
23/12/2017,Power Query,Hampton,5
20/01/2017,Excel Level 3,Surrey House,3
03/11/2017,Mastering DAX,Dover Court,2
30/06/2017,Mastering DAX,Surrey House,7
19/09/2017,Power Query,Surrey House,3
18/11/2017,Excel Level 2,Warwick Street,3
09/10/2017,Excel Level 2,Dover Court,7
04/06/2017,Excel Best Practise & Tips,Surrey House,3
11/05/2017,Power Query & Power Pivot,Hampton,7
09/07/2017,Excel Level 2,Hampton,3
24/12/2017,Excel Dashboards,Hampton,7
16/07/2017,Power Query & Power Pivot,Hampton,2
31/07/2017,Power Query & Power Pivot,Dover Court,3
25/12/2017,Mastering DAX,Warwick Street,3
07/12/2017,Excel Dashboards,Dover Court,5
29/11/2017,Excel VBA,Surrey House,5
04/12/2017,Power Query & Power Pivot,Dover Court,8
22/11/2017,Power Query,Hampton,4
30/11/2017,Power Query & Power Pivot,Surrey House,2
11/12/2017,Excel Level 3,Hampton,5
30/11/2017,Power Query & Power Pivot,Dover Court,8
29/08/2017,Power BI Introduction,Warwick Street,3
20/11/2017,Excel Dashboards,Warwick Street,3
18/08/2017,Excel Dashboards,Surrey House,3
15/02/2017,Excel Level 3,Surrey House,5
29/11/2017,Excel Level 2,Surrey House,5
22/11/2017,Excel Formulas and Functions,Warwick Street,7
19/05/2017,Excel Level 3,Surrey House,10
25/12/2017,Excel Level 1,Surrey House,3
19/01/2017,Power Query,Dover Court,7
21/12/2017,Mastering DAX,Surrey House,3
21/06/2017,Excel VBA,Dover Court,5
20/02/2017,Mastering DAX,Hampton,7
09/09/2017,Excel Dashboards,Surrey House,5
17/01/2017,Excel Level 3,Dover Court,5
06/03/2017,Excel VBA,Hampton,9
18/01/2017,Power BI Introduction,Surrey House,3
17/12/2017,Excel Level 1,Dover Court,3
21/11/2017,Excel Level 2,Dover Court,2
29/11/2017,Power Query,Surrey House,5
29/07/2017,Excel Level 2,Hampton,3
31/03/2017,Excel Level 2,Hampton,3
17/03/2017,Excel Level 2,Warwick Street,5
05/05/2017,Excel Formulas and Functions,Warwick Street,7
11/10/2017,Excel PivotTables,Dover Court,3
05/12/2017,Power Query,Hampton,2
28/04/2017,Excel VBA,Surrey House,7
13/12/2017,Excel Level 2,Surrey House,5
18/01/2017,Excel Level 1,Surrey House,8
08/12/2017,Power Query,Dover Court,3
09/09/2017,Excel Level 2,Hampton,9
09/11/2017,Excel Formulas and Functions,Warwick Street,3
18/08/2017,Excel Level 2,Hampton,7
05/12/2017,Excel VBA,Surrey House,3
14/12/2017,Excel Formulas and Functions,Surrey House,7
07/12/2017,Power BI Introduction,Surrey House,8
15/07/2017,Excel VBA,Warwick Street,5
10/04/2017,Excel Level 1,Dover Court,5
18/12/2017,Excel VBA,Dover Court,2
28/11/2017,Power Query,Warwick Street,3
23/11/2017,Excel VBA,Surrey House,5
08/04/2017,Excel Formulas and Functions,Hampton,3
26/10/2017,Excel Level 2,Warwick Street,6
17/01/2017,Excel Level 1,Dover Court,3
27/11/2017,Excel Dashboards,Dover Court,10
08/06/2017,Power Query & Power Pivot,Hampton,7
07/02/2017,Excel Level 2,Surrey House,3
28/09/2017,Excel Level 3,Warwick Street,3
01/05/2017,Excel Level 2,Hampton,3
12/12/2017,Power Query,Warwick Street,7
02/04/2017,Excel PivotTables,Dover Court,3
06/06/2017,Excel Best Practise & Tips,Surrey House,9
01/09/2017,Excel Level 2,Hampton,5
09/07/2017,Excel Level 3,Dover Court,3
06/02/2017,Power Query,Warwick Street,3
19/12/2017,Power Query,Surrey House,3
24/02/2017,Excel Level 2,Dover Court,8
07/11/2017,Power Query & Power Pivot,Hampton,3
13/01/2017,Excel Level 1,Hampton,7
06/12/2017,Excel Dashboards,Warwick Street,5
07/12/2017,Excel Level 2,Surrey House,5
24/08/2017,Power Query,Hampton,3
01/12/2017,Excel Level 2,Dover Court,5
07/11/2017,Excel Level 2,Hampton,1
10/08/2017,Excel VBA,Surrey House,3
01/10/2017,Excel Level 2,Surrey House,5
20/05/2017,Excel Dashboards,Hampton,5
27/12/2017,Excel Level 1,Dover Court,5
27/12/2017,Excel Level 2,Dover Court,5
10/01/2017,Excel VBA,Surrey House,7
15/10/2017,Excel VBA,Dover Court,5
02/10/2017,Power Query,Surrey House,5
04/05/2017,Excel Level 2,Dover Court,8
18/11/2017,Excel Level 3,Surrey House,9
05/12/2017,Excel VBA,Hampton,5
24/12/2017,Excel Level 1,Hampton,5
18/06/2017,Excel Level 2,Hampton,2
22/06/2017,Power Query,Surrey House,10
03/08/2017,Excel Level 3,Surrey House,5
08/12/2017,Excel Level 1,Surrey House,2
28/03/2017,Power Query,Hampton,3
17/12/2017,Power Query,Surrey House,4
23/02/2017,Excel VBA,Hampton,7
25/08/2017,Excel Formulas and Functions,Surrey House,3
18/03/2017,Excel Level 3,Hampton,5
19/10/2017,Excel VBA,Hampton,8
06/03/2017,Power BI Introduction,Hampton,3
19/07/2017,Excel Level 2,Dover Court,9
05/10/2017,Excel VBA,Surrey House,5
16/01/2017,Power Query & Power Pivot,Warwick Street,3
05/12/2017,Power Query & Power Pivot,Dover Court,3
08/02/2017,Excel VBA,Hampton,4
02/12/2017,Excel Level 2,Dover Court,3
21/12/2017,Power Query,Dover Court,5
21/11/2017,Excel VBA,Dover Court,5
01/12/2017,Excel VBA,Dover Court,5
19/04/2017,Excel Formulas and Functions,Warwick Street,5
20/10/2017,Excel PivotTables,Dover Court,3
14/01/2017,Power BI Introduction,Dover Court,5
01/12/2017,Excel Level 3,Hampton,3
24/12/2017,Excel Level 2,Surrey House,5
14/01/2017,Excel VBA,Warwick Street,3
21/10/2017,Power Query & Power Pivot,Hampton,3
28/03/2017,Excel PivotTables,Dover Court,8
27/12/2017,Power Query,Warwick Street,3
08/03/2017,Excel VBA,Hampton,5
18/12/2017,Power Query & Power Pivot,Surrey House,3
28/10/2017,Power Query,Dover Court,2
23/12/2017,Excel Dashboards,Dover Court,2
15/12/2017,Excel Formulas and Functions,Dover Court,3
03/07/2017,Excel Dashboards,Surrey House,6
29/01/2017,Excel Level 2,Dover Court,7
26/02/2017,Excel Level 3,Warwick Street,5
27/07/2017,Excel Level 1,Hampton,3
27/12/2017,Excel PivotTables,Warwick Street,5
21/11/2017,Excel Level 3,Warwick Street,3
31/03/2017,Excel Level 2,Warwick Street,1
16/02/2017,Power Query,Warwick Street,3
06/08/2017,Power Query,Surrey House,9
26/11/2017,Excel Level 3,Warwick Street,2
22/05/2017,Excel Level 2,Hampton,6
05/12/2017,Excel Level 2,Surrey House,5
09/04/2017,Excel Level 2,Warwick Street,5
15/04/2017,Power Query,Hampton,3
08/08/2017,Excel Level 2,Hampton,3
06/05/2017,Excel VBA,Dover Court,7
27/02/2017,Excel VBA,Surrey House,3
06/03/2017,Excel Level 1,Dover Court,3
31/10/2017,Excel Level 2,Dover Court,5
01/10/2017,Excel Level 3,Hampton,7
12/05/2017,Excel VBA,Hampton,7
24/02/2017,Excel Level 2,Dover Court,7
27/03/2017,Power Query & Power Pivot,Warwick Street,3
06/03/2017,Power Query,Dover Court,3
31/01/2017,Excel VBA,Surrey House,7
20/01/2017,Excel VBA,Dover Court,3
04/12/2017,Excel VBA,Hampton,3
08/09/2017,Excel Level 2,Surrey House,7
26/11/2017,Power Query,Warwick Street,2
15/11/2017,Excel Level 3,Dover Court,5
18/11/2017,Power Query,Hampton,5
05/11/2017,Power Query,Dover Court,6
01/02/2017,Excel Level 2,Warwick Street,7
25/02/2017,Power Query & Power Pivot,Surrey House,5
10/12/2017,Excel Dashboards,Dover Court,2
07/05/2017,Excel Level 2,Warwick Street,5
08/08/2017,Excel Level 2,Hampton,2
30/07/2017,Excel Level 2,Surrey House,3
24/04/2017,Power Query,Dover Court,2
29/05/2017,Excel VBA,Surrey House,5
27/01/2017,Excel Dashboards,Surrey House,5
21/10/2017,Excel Level 2,Surrey House,5
02/04/2017,Power Query,Hampton,3
14/04/2017,Excel Level 1,Dover Court,3
30/11/2017,Power Query & Power Pivot,Surrey House,3
16/12/2017,Excel VBA,Surrey House,3
08/07/2017,Mastering DAX,Warwick Street,3
17/12/2017,Excel Level 2,Surrey House,2
19/12/2017,Power Query & Power Pivot,Surrey House,3
04/12/2017,Power BI Introduction,Dover Court,2
27/08/2017,Excel Level 3,Surrey House,3
21/04/2017,Excel Level 3,Dover Court,10
26/03/2017,Excel Dashboards,Dover Court,5
12/05/2017,Power Query,Dover Court,3
22/11/2017,Excel Level 2,Hampton,8
16/02/2017,Excel VBA,Surrey House,3
01/06/2017,Mastering DAX,Warwick Street,7
19/12/2017,Excel Level 3,Dover Court,3
14/12/2017,Excel Level 2,Hampton,3
10/12/2017,Excel Level 2,Surrey House,5
23/12/2017,Excel Level 1,Surrey House,7
28/11/2017,Excel VBA,Surrey House,5
18/12/2017,Power Query,Warwick Street,7
28/09/2017,Excel VBA,Surrey House,5
26/12/2017,Excel VBA,Hampton,5
11/07/2017,Excel Level 3,Hampton,5
16/03/2017,Excel Level 3,Surrey House,3
25/08/2017,Excel Level 2,Warwick Street,3
07/12/2017,Power Query & Power Pivot,Hampton,3
07/01/2017,Excel Level 3,Warwick Street,3
21/03/2017,Excel Dashboards,Hampton,5
15/11/2017,Excel VBA,Warwick Street,3
27/12/2017,Power Query,Surrey House,5
12/11/2017,Power Query,Surrey House,5
11/06/2017,Excel Formulas and Functions,Hampton,3
22/11/2017,Excel Level 2,Hampton,3
26/06/2017,Excel Level 2,Warwick Street,5
05/07/2017,Excel Level 3,Warwick Street,3
05/10/2017,Excel VBA,Surrey House,3
01/02/2017,Excel Formulas and Functions,Dover Court,8
13/12/2017,Power Query,Surrey House,3
14/12/2017,Power Query,Dover Court,3
05/12/2017,Excel VBA,Surrey House,3
25/12/2017,Power Query,Warwick Street,7
04/05/2017,Power Query,Hampton,3
23/04/2017,Excel Level 2,Surrey House,5
29/11/2017,Excel PivotTables,Warwick Street,5
06/07/2017,Excel Formulas and Functions,Dover Court,5
10/04/2017,Excel Level 2,Warwick Street,7
11/01/2017,Excel Formulas and Functions,Dover Court,3
11/07/2017,Power Query & Power Pivot,Warwick Street,3
26/06/2017,Excel Level 3,Surrey House,9
02/10/2017,Excel Level 3,Surrey House,5
05/07/2017,Excel Level 1,Hampton,9
24/11/2017,Mastering DAX,Dover Court,3
10/03/2017,Excel Level 2,Hampton,2
27/02/2017,Excel Formulas and Functions,Hampton,3
19/05/2017,Excel Level 1,Warwick Street,3
20/12/2017,Excel Best Practise & Tips,Warwick Street,3
11/11/2017,Power BI Introduction,Warwick Street,5
26/05/2017,Excel Level 2,Warwick Street,5
19/12/2017,Mastering DAX,Warwick Street,3
15/06/2017,Power Query & Power Pivot,Hampton,5
26/07/2017,Excel Dashboards,Hampton,3
20/08/2017,Mastering DAX,Dover Court,7
25/12/2017,Excel VBA,Hampton,3
01/02/2017,Power Query,Hampton,3
19/11/2017,Excel Level 2,Warwick Street,5
30/11/2017,Mastering DAX,Dover Court,5
19/11/2017,Excel VBA,Surrey House,5
14/04/2017,Power Query,Surrey House,7
19/11/2017,Power Query & Power Pivot,Surrey House,3
23/09/2017,Power BI Introduction,Surrey House,3
23/11/2017,Excel Formulas and Functions,Warwick Street,5
10/04/2017,Excel VBA,Warwick Street,3
19/09/2017,Excel Dashboards,Surrey House,2
07/01/2017,Excel Dashboards,Warwick Street,8
17/03/2017,Mastering DAX,Surrey House,10
29/12/2017,Power Query & Power Pivot,Warwick Street,3
03/10/2017,Excel Best Practise & Tips,Surrey House,4
01/12/2017,Excel Dashboards,Surrey House,2
24/03/2017,Excel Level 2,Hampton,8
02/07/2017,Power Query,Warwick Street,3
13/10/2017,Excel Level 3,Hampton,5
23/10/2017,Excel Level 2,Surrey House,3
14/04/2017,Power Query & Power Pivot,Hampton,7
08/05/2017,Excel Level 3,Surrey House,7
20/04/2017,Excel Level 2,Dover Court,7
22/09/2017,Power Query,Surrey House,3
13/07/2017,Power Query,Dover Court,5
07/12/2017,Excel PivotTables,Warwick Street,3
10/03/2017,Excel Level 3,Surrey House,5
16/07/2017,Excel Level 2,Dover Court,5
22/01/2017,Mastering DAX,Warwick Street,7
12/09/2017,Power BI Introduction,Hampton,3
25/03/2017,Power Query,Surrey House,3
12/12/2017,Power Query,Hampton,5
03/06/2017,Excel VBA,Hampton,3
27/11/2017,Power Query,Hampton,5
08/03/2017,Power Query,Surrey House,3
12/12/2017,Excel Dashboards,Surrey House,3
19/05/2017,Power Query & Power Pivot,Surrey House,3
09/08/2017,Power Query,Hampton,3
30/04/2017,Excel Level 2,Dover Court,3
08/07/2017,Power Query & Power Pivot,Surrey House,3
19/01/2017,Excel Level 2,Dover Court,5
02/03/2017,Excel Level 1,Surrey House,3
12/07/2017,Excel VBA,Hampton,3
28/01/2017,Excel Formulas and Functions,Hampton,5
08/05/2017,Excel Dashboards,Surrey House,8
18/09/2017,Excel Level 2,Dover Court,3
18/12/2017,Excel VBA,Surrey House,5
07/02/2017,Power Query & Power Pivot,Hampton,5
29/11/2017,Excel VBA,Dover Court,3
17/03/2017,Power Query,Surrey House,7
12/02/2017,Excel Level 2,Warwick Street,3
04/09/2017,Mastering DAX,Warwick Street,7
31/05/2017,Power Query & Power Pivot,Warwick Street,3
28/10/2017,Excel VBA,Dover Court,2
26/02/2017,Power Query & Power Pivot,Hampton,3
28/02/2017,Excel Level 2,Warwick Street,5
28/05/2017,Excel Level 2,Dover Court,8
01/03/2017,Excel Level 2,Surrey House,5
07/12/2017,Power Query,Surrey House,1
23/09/2017,Excel Dashboards,Surrey House,7
20/03/2017,Power Query & Power Pivot,Surrey House,3
25/11/2017,Power BI Introduction,Dover Court,7
24/11/2017,Excel Level 3,Hampton,5
27/12/2017,Power Query,Surrey House,3
05/07/2017,Excel Level 2,Hampton,3
12/01/2017,Mastering DAX,Hampton,5
21/07/2017,Mastering DAX,Surrey House,3
16/10/2017,Excel Level 2,Dover Court,1
10/04/2017,Excel PivotTables,Surrey House,3
13/04/2017,Power Query,Dover Court,5
14/12/2017,Mastering DAX,Warwick Street,7
10/02/2017,Excel Level 3,Hampton,5
07/02/2017,Excel VBA,Warwick Street,7
26/12/2017,Excel Dashboards,Warwick Street,7
23/02/2017,Excel Dashboards,Dover Court,5
01/05/2017,Excel Level 1,Warwick Street,3
25/05/2017,Excel Dashboards,Dover Court,3
21/04/2017,Power Query & Power Pivot,Surrey House,2
11/01/2017,Power Query,Surrey House,5
20/10/2017,Power Query,Dover Court,5
14/01/2017,Power Query & Power Pivot,Hampton,7
15/03/2017,Excel Level 2,Warwick Street,2
28/04/2017,Excel Level 3,Hampton,7
23/07/2017,Excel Level 2,Warwick Street,3
05/07/2017,Power Query & Power Pivot,Warwick Street,3
27/11/2017,Excel Dashboards,Hampton,5
04/03/2017,Excel Level 2,Dover Court,1
15/02/2017,Excel Formulas and Functions,Warwick Street,7
02/12/2017,Power Query,Warwick Street,3
03/01/2017,Mastering DAX,Hampton,2
21/07/2017,Excel Level 3,Warwick Street,5
09/07/2017,Power Query & Power Pivot,Hampton,3
19/05/2017,Power Query & Power Pivot,Surrey House,5
13/12/2017,Power Query & Power Pivot,Hampton,5
13/01/2017,Excel PivotTables,Dover Court,3
26/02/2017,Power BI Introduction,Surrey House,5
21/08/2017,Power Query,Dover Court,3
28/09/2017,Excel Level 1,Warwick Street,7
07/04/2017,Power Query,Surrey House,5
09/03/2017,Excel Level 3,Dover Court,5
14/12/2017,Excel Level 3,Hampton,3
02/01/2017,Excel Level 2,Warwick Street,5
11/05/2017,Excel Level 1,Hampton,10
16/12/2017,Excel Level 2,Dover Court,3
18/08/2017,Excel VBA,Surrey House,2
14/02/2017,Excel Level 2,Hampton,3
05/04/2017,Excel Level 2,Hampton,5
14/03/2017,Excel Level 1,Warwick Street,10
18/01/2017,Mastering DAX,Hampton,7
20/11/2017,Excel VBA,Warwick Street,5
10/07/2017,Excel Dashboards,Warwick Street,7
22/11/2017,Power Query & Power Pivot,Warwick Street,3
26/10/2017,Excel Level 2,Dover Court,3
20/06/2017,Excel Dashboards,Surrey House,5
14/04/2017,Power Query,Dover Court,5
25/09/2017,Power Query,Surrey House,5
22/12/2017,Excel VBA,Hampton,9
05/06/2017,Excel VBA,Surrey House,3
07/09/2017,Excel Level 1,Dover Court,5
11/12/2017,Power Query,Surrey House,5
26/12/2017,Excel Level 2,Warwick Street,2
