Date,Course,Venue,Attendees
24/06/2019,Excel Dashboards,Warwick Street,6
15/06/2019,Excel Level 1,Surrey House,5
19/04/2019,Excel Level 2,Warwick Street,3
05/03/2019,Excel Level 3,Dover Court,6
20/02/2019,Excel Formulas and Functions,Warwick Street,3
06/12/2019,Excel Best Practise & Tips,Surrey House,8
27/06/2019,Excel VBA,Dover Court,5
03/06/2019,Power BI Introduction,Warwick Street,6
26/08/2019,Excel Level 2,Dover Court,5
12/08/2019,Mastering DAX,Dover Court,3
18/04/2019,Power Query & Power Pivot,Dover Court,6
26/03/2019,Excel Dashboards,Warwick Street,5
06/12/2019,Excel Level 1,Hampton,5
21/08/2019,Excel VBA,Dover Court,6
15/10/2019,Power BI Introduction,Surrey House,12
30/11/2019,Power BI Introduction,Hampton,4
02/02/2019,Excel Dashboards,Warwick Street,3
25/08/2019,Excel Dashboards,Warwick Street,6
20/10/2019,Excel VBA,Surrey House,6
03/11/2019,Excel Level 3,Surrey House,6
18/03/2019,Excel Level 3,Dover Court,6
13/11/2019,Mastering DAX,Surrey House,6
17/12/2019,Power BI Introduction,Warwick Street,6
08/09/2019,Excel Level 1,Surrey House,4
09/04/2019,Mastering DAX,Warwick Street,4
04/08/2019,Power BI Introduction,Warwick Street,4
07/05/2019,Excel Formulas and Functions,Surrey House,1
15/08/2019,Excel Formulas and Functions,Hampton,3
19/04/2019,Excel Level 2,Warwick Street,6
10/08/2019,Power Query,Dover Court,6
29/07/2019,Power BI Introduction,Hampton,11
23/11/2019,Excel Level 1,Warwick Street,5
17/04/2019,Excel Dashboards,Hampton,4
13/01/2019,Excel Dashboards,Hampton,4
25/11/2019,Excel Level 3,Warwick Street,6
08/12/2019,Excel Dashboards,Dover Court,5
26/05/2019,Excel Dashboards,Surrey House,5
27/05/2019,Power BI Introduction,Warwick Street,5
07/04/2019,Excel Level 2,Warwick Street,5
11/02/2019,Excel Level 1,Warwick Street,6
23/11/2019,Excel Level 3,Surrey House,4
11/05/2019,Excel Level 3,Hampton,4
30/01/2019,Power BI Introduction,Dover Court,5
21/09/2019,Excel Level 3,Warwick Street,5
07/12/2019,Excel VBA,Surrey House,4
26/12/2019,Excel Dashboards,Hampton,6
20/02/2019,Excel Dashboards,Surrey House,4
04/01/2019,Excel Level 3,Surrey House,5
15/03/2019,Power BI Introduction,Dover Court,6
30/06/2019,Power BI Introduction,Warwick Street,5
25/05/2019,Excel VBA,Warwick Street,5
03/11/2019,Excel Level 3,Warwick Street,3
01/10/2019,Excel PivotTables,Surrey House,5
09/11/2019,Excel Level 3,Hampton,3
02/09/2019,Excel VBA,Dover Court,4
09/08/2019,Excel Dashboards,Surrey House,5
22/06/2019,Excel Level 3,Surrey House,6
21/01/2019,Excel Formulas and Functions,Dover Court,4
26/12/2019,Power Query & Power Pivot,Warwick Street,12
13/08/2019,Power Query & Power Pivot,Surrey House,6
11/12/2019,Excel Dashboards,Surrey House,6
13/10/2019,Excel Level 2,Dover Court,5
06/09/2019,Excel Level 1,Surrey House,12
05/02/2019,Excel Formulas and Functions,Hampton,5
28/11/2019,Power BI Introduction,Warwick Street,12
13/01/2019,Excel Level 1,Warwick Street,6
06/08/2019,Excel Level 3,Hampton,4
21/09/2019,Power Query & Power Pivot,Warwick Street,6
19/02/2019,Excel Formulas and Functions,Warwick Street,3
23/10/2019,Power BI Introduction,Warwick Street,4
09/11/2019,Excel Formulas and Functions,Hampton,11
08/10/2019,Power BI Introduction,Dover Court,6
16/07/2019,Power Query,Warwick Street,1
14/11/2019,Power BI Introduction,Dover Court,6
09/08/2019,Power BI Introduction,Warwick Street,5
15/11/2019,Excel Level 3,Dover Court,5
23/07/2019,Excel Level 1,Warwick Street,6
21/02/2019,Power BI Introduction,Dover Court,6
06/12/2019,Power Query & Power Pivot,Surrey House,4
11/03/2019,Power Query & Power Pivot,Surrey House,5
16/02/2019,Power BI Introduction,Warwick Street,6
08/08/2019,Excel Best Practise & Tips,Hampton,6
17/12/2019,Excel Level 3,Surrey House,6
19/11/2019,Excel Formulas and Functions,Warwick Street,6
01/09/2019,Excel Level 3,Surrey House,6
13/10/2019,Power Query & Power Pivot,Warwick Street,5
15/12/2019,Excel VBA,Warwick Street,5
30/11/2019,Power Query & Power Pivot,Warwick Street,5
03/12/2019,Excel PivotTables,Surrey House,5
08/06/2019,Excel Level 2,Dover Court,3
19/07/2019,Power BI Introduction,Surrey House,6
09/12/2019,Excel Level 3,Surrey House,12
07/12/2019,Excel Level 1,Warwick Street,5
23/11/2019,Excel Level 3,Warwick Street,6
22/11/2019,Excel Level 3,Surrey House,5
20/08/2019,Power BI Introduction,Warwick Street,6
01/12/2019,Excel PivotTables,Warwick Street,3
01/06/2019,Power Query & Power Pivot,Surrey House,5
24/11/2019,Power BI Introduction,Dover Court,4
08/02/2019,Power BI Introduction,Surrey House,5
12/10/2019,Excel Formulas and Functions,Surrey House,4
08/10/2019,Power Query,Warwick Street,6
20/06/2019,Excel Level 2,Surrey House,4
22/12/2019,Excel Formulas and Functions,Surrey House,6
13/04/2019,Excel Formulas and Functions,Warwick Street,5
11/07/2019,Power BI Introduction,Hampton,6
25/04/2019,Excel Level 3,Surrey House,6
08/10/2019,Power BI Introduction,Dover Court,10
28/11/2019,Excel Level 3,Surrey House,6
02/05/2019,Power BI Introduction,Dover Court,6
07/07/2019,Excel Level 3,Warwick Street,6
28/04/2019,Excel Dashboards,Hampton,6
08/07/2019,Excel Formulas and Functions,Warwick Street,4
27/10/2019,Mastering DAX,Warwick Street,3
04/03/2019,Power Query,Warwick Street,5
14/07/2019,Excel Level 2,Warwick Street,11
04/03/2019,Excel PivotTables,Dover Court,4
18/12/2019,Excel Formulas and Functions,Surrey House,5
02/04/2019,Power BI Introduction,Warwick Street,4
01/12/2019,Excel PivotTables,Hampton,6
10/07/2019,Excel Level 1,Warwick Street,4
16/05/2019,Excel Dashboards,Surrey House,5
23/11/2019,Excel Formulas and Functions,Warwick Street,5
09/03/2019,Excel Dashboards,Hampton,4
18/06/2019,Power BI Introduction,Warwick Street,5
04/01/2019,Excel Level 1,Dover Court,6
30/09/2019,Power Query & Power Pivot,Surrey House,6
17/10/2019,Excel PivotTables,Warwick Street,6
14/03/2019,Excel Formulas and Functions,Hampton,5
21/06/2019,Excel Dashboards,Hampton,6
16/05/2019,Excel Formulas and Functions,Warwick Street,5
19/02/2019,Power BI Introduction,Surrey House,3
19/12/2019,Excel Level 1,Hampton,5
24/05/2019,Power BI Introduction,Warwick Street,4
29/09/2019,Power BI Introduction,Surrey House,5
27/01/2019,Power Query & Power Pivot,Surrey House,6
26/06/2019,Excel Level 3,Hampton,3
14/10/2019,Mastering DAX,Surrey House,6
29/11/2019,Power BI Introduction,Dover Court,8
01/09/2019,Power Query & Power Pivot,Hampton,3
18/12/2019,Power BI Introduction,Dover Court,6
29/07/2019,Power Query & Power Pivot,Warwick Street,6
01/11/2019,Excel PivotTables,Warwick Street,6
21/03/2019,Excel Level 1,Dover Court,12
03/01/2019,Power BI Introduction,Surrey House,6
05/02/2019,Excel VBA,Surrey House,5
06/06/2019,Excel Level 1,Dover Court,4
11/07/2019,Excel Formulas and Functions,Hampton,6
07/03/2019,Power BI Introduction,Dover Court,12
24/12/2019,Power Query & Power Pivot,Surrey House,5
19/02/2019,Excel VBA,Warwick Street,5
18/11/2019,Excel Dashboards,Surrey House,4
02/09/2019,Excel Level 1,Surrey House,4
12/09/2019,Excel PivotTables,Hampton,6
27/12/2019,Excel Dashboards,Dover Court,6
02/02/2019,Excel Dashboards,Warwick Street,5
22/12/2019,Excel Dashboards,Hampton,5
03/09/2019,Excel Level 1,Surrey House,6
14/11/2019,Excel Formulas and Functions,Surrey House,6
01/11/2019,Power Query & Power Pivot,Warwick Street,6
18/08/2019,Mastering DAX,Dover Court,6
21/11/2019,Power BI Introduction,Surrey House,6
07/12/2019,Excel Dashboards,Hampton,4
07/12/2019,Excel VBA,Dover Court,4
22/12/2019,Excel Level 3,Surrey House,4
07/01/2019,Excel Dashboards,Dover Court,6
19/01/2019,Excel Level 3,Warwick Street,5
27/11/2019,Power BI Introduction,Surrey House,3
28/06/2019,Excel Level 1,Warwick Street,3
23/04/2019,Excel Level 3,Hampton,5
13/12/2019,Excel Level 3,Dover Court,6
15/12/2019,Excel Level 3,Dover Court,3
27/03/2019,Excel Formulas and Functions,Hampton,5
09/08/2019,Excel PivotTables,Hampton,4
05/06/2019,Excel Level 3,Hampton,5
14/04/2019,Power BI Introduction,Hampton,5
23/05/2019,Excel Level 2,Warwick Street,6
23/11/2019,Excel Dashboards,Surrey House,5
30/11/2019,Mastering DAX,Warwick Street,5
12/12/2019,Excel Dashboards,Warwick Street,3
12/12/2019,Excel Level 3,Warwick Street,6
16/11/2019,Excel VBA,Warwick Street,12
13/09/2019,Excel Level 2,Surrey House,6
25/05/2019,Mastering DAX,Surrey House,12
07/11/2019,Excel Level 1,Dover Court,12
13/01/2019,Power BI Introduction,Hampton,5
21/08/2019,Excel Level 3,Surrey House,4
07/04/2019,Excel Dashboards,Dover Court,5
27/03/2019,Excel PivotTables,Warwick Street,3
01/12/2019,Excel Dashboards,Warwick Street,5
08/11/2019,Excel Best Practise & Tips,Hampton,5
22/08/2019,Power Query & Power Pivot,Dover Court,6
16/11/2019,Excel PivotTables,Hampton,6
02/11/2019,Power Query & Power Pivot,Warwick Street,5
07/12/2019,Mastering DAX,Surrey House,6
15/12/2019,Excel Level 3,Warwick Street,6
12/03/2019,Excel Level 1,Warwick Street,5
18/01/2019,Excel Formulas and Functions,Hampton,5
27/11/2019,Excel Level 2,Dover Court,3
01/11/2019,Excel PivotTables,Warwick Street,5
20/11/2019,Power Query,Warwick Street,5
14/07/2019,Excel Level 3,Warwick Street,3
16/11/2019,Excel Level 3,Dover Court,6
25/11/2019,Power BI Introduction,Surrey House,3
02/06/2019,Excel Level 3,Warwick Street,3
02/08/2019,Excel VBA,Warwick Street,6
07/10/2019,Power Query,Dover Court,5
28/07/2019,Excel Formulas and Functions,Warwick Street,5
20/05/2019,Excel Formulas and Functions,Hampton,5
21/11/2019,Excel Level 3,Hampton,6
13/10/2019,Excel Dashboards,Dover Court,3
10/04/2019,Power BI Introduction,Dover Court,6
15/06/2019,Mastering DAX,Warwick Street,6
03/05/2019,Power BI Introduction,Hampton,5
19/12/2019,Excel Dashboards,Warwick Street,5
25/03/2019,Excel Level 1,Dover Court,6
02/08/2019,Excel Level 1,Warwick Street,4
22/06/2019,Excel PivotTables,Warwick Street,5
09/05/2019,Power BI Introduction,Hampton,6
01/05/2019,Excel Best Practise & Tips,Dover Court,6
07/02/2019,Power Query & Power Pivot,Hampton,5
18/11/2019,Excel Level 1,Warwick Street,5
14/04/2019,Power BI Introduction,Dover Court,6
13/01/2019,Excel Formulas and Functions,Warwick Street,12
01/01/2019,Power BI Introduction,Warwick Street,3
28/12/2019,Excel Formulas and Functions,Warwick Street,6
09/11/2019,Excel Dashboards,Dover Court,8
18/01/2019,Excel VBA,Dover Court,3
30/11/2019,Excel Formulas and Functions,Hampton,5
10/12/2019,Excel Level 3,Dover Court,4
07/08/2019,Excel VBA,Surrey House,5
10/07/2019,Excel Level 3,Warwick Street,5
22/09/2019,Excel Formulas and Functions,Warwick Street,6
18/11/2019,Excel Level 2,Surrey House,5
14/12/2019,Excel Dashboards,Warwick Street,4
19/12/2019,Excel Level 2,Dover Court,6
21/12/2019,Excel Formulas and Functions,Warwick Street,3
25/11/2019,Power BI Introduction,Surrey House,3
20/11/2019,Power BI Introduction,Hampton,4
21/12/2019,Excel Level 2,Surrey House,5
25/03/2019,Power BI Introduction,Hampton,4
07/12/2019,Excel Formulas and Functions,Surrey House,6
26/09/2019,Power BI Introduction,Warwick Street,5
17/06/2019,Power BI Introduction,Hampton,6
20/12/2019,Excel Level 2,Dover Court,6
21/12/2019,Power BI Introduction,Warwick Street,6
03/09/2019,Power BI Introduction,Dover Court,10
03/10/2019,Excel Level 2,Warwick Street,4
12/11/2019,Excel Level 3,Hampton,6
30/12/2019,Excel PivotTables,Hampton,5
18/03/2019,Excel Formulas and Functions,Hampton,5
07/11/2019,Power Query,Warwick Street,5
28/12/2019,Excel Best Practise & Tips,Dover Court,4
04/01/2019,Excel Formulas and Functions,Warwick Street,6
21/02/2019,Excel Level 3,Dover Court,5
01/05/2019,Excel Level 1,Dover Court,3
29/03/2019,Excel Level 3,Warwick Street,6
24/12/2019,Mastering DAX,Warwick Street,6
06/02/2019,Excel Formulas and Functions,Warwick Street,5
30/10/2019,Excel Formulas and Functions,Warwick Street,1
10/07/2019,Power BI Introduction,Surrey House,5
16/09/2019,Power BI Introduction,Warwick Street,5
09/05/2019,Excel Level 3,Hampton,6
12/12/2019,Excel Level 1,Warwick Street,6
07/12/2019,Excel Level 3,Surrey House,4
09/09/2019,Power Query & Power Pivot,Surrey House,5
08/04/2019,Excel Level 2,Hampton,5
13/11/2019,Power BI Introduction,Warwick Street,5
24/03/2019,Excel Level 2,Dover Court,6
13/11/2019,Power BI Introduction,Dover Court,5
18/02/2019,Excel Level 2,Surrey House,5
15/12/2019,Excel Dashboards,Warwick Street,5
07/07/2019,Excel Best Practise & Tips,Surrey House,3
19/06/2019,Power Query & Power Pivot,Dover Court,6
11/12/2019,Excel Level 3,Warwick Street,5
31/05/2019,Power BI Introduction,Dover Court,6
27/11/2019,Excel Level 3,Warwick Street,6
29/03/2019,Power Query & Power Pivot,Hampton,5
01/12/2019,Excel Level 3,Warwick Street,5
26/11/2019,Excel Level 1,Dover Court,6
18/12/2019,Excel Best Practise & Tips,Dover Court,3
21/12/2019,Power Query,Hampton,6
14/12/2019,Excel Dashboards,Warwick Street,5
15/03/2019,Excel Level 1,Warwick Street,4
15/12/2019,Excel Level 3,Dover Court,12
14/07/2019,Excel Formulas and Functions,Surrey House,6
11/06/2019,Excel Level 3,Warwick Street,6
03/12/2019,Power BI Introduction,Dover Court,6
08/12/2019,Power BI Introduction,Surrey House,6
06/12/2019,Excel Level 1,Surrey House,4
26/11/2019,Excel Dashboards,Warwick Street,3
04/07/2019,Excel Level 3,Dover Court,6
15/11/2019,Power BI Introduction,Surrey House,11
08/07/2019,Power BI Introduction,Surrey House,6
07/10/2019,Excel PivotTables,Dover Court,4
19/06/2019,Excel Level 2,Surrey House,6
22/12/2019,Excel Level 3,Hampton,4
29/05/2019,Excel Level 1,Warwick Street,5
02/10/2019,Excel Formulas and Functions,Dover Court,5
25/11/2019,Excel Level 1,Surrey House,11
02/12/2019,Excel Level 2,Warwick Street,12
13/12/2019,Excel Level 3,Warwick Street,5
02/10/2019,Power Query & Power Pivot,Dover Court,5
28/12/2019,Excel Formulas and Functions,Warwick Street,12
19/01/2019,Mastering DAX,Warwick Street,6
03/08/2019,Excel Level 1,Surrey House,5
13/11/2019,Power BI Introduction,Surrey House,12
19/08/2019,Excel VBA,Warwick Street,4
26/10/2019,Power BI Introduction,Dover Court,5
23/11/2019,Power Query,Dover Court,11
23/11/2019,Excel Level 2,Hampton,6
14/11/2019,Excel Level 3,Warwick Street,4
24/09/2019,Excel Formulas and Functions,Hampton,6
30/10/2019,Excel Level 3,Hampton,6
04/12/2019,Power Query,Dover Court,5
24/11/2019,Excel Level 2,Surrey House,6
22/12/2019,Excel Level 2,Surrey House,4
02/12/2019,Power Query & Power Pivot,Warwick Street,6
14/12/2019,Power BI Introduction,Hampton,5
02/12/2019,Power BI Introduction,Dover Court,4
03/03/2019,Excel Level 1,Warwick Street,5
01/12/2019,Excel Level 3,Dover Court,6
22/01/2019,Excel Level 2,Hampton,12
15/11/2019,Excel Level 3,Warwick Street,11
08/03/2019,Excel Formulas and Functions,Hampton,5
24/03/2019,Excel PivotTables,Warwick Street,6
06/07/2019,Excel PivotTables,Warwick Street,5
19/12/2019,Excel Formulas and Functions,Hampton,5
27/12/2019,Excel Level 2,Hampton,6
12/10/2019,Power BI Introduction,Warwick Street,6
19/02/2019,Excel Dashboards,Warwick Street,5
09/07/2019,Excel Level 1,Dover Court,5
03/01/2019,Excel Level 1,Surrey House,6
13/01/2019,Excel PivotTables,Hampton,6
18/11/2019,Power BI Introduction,Hampton,1
27/06/2019,Excel VBA,Warwick Street,6
23/07/2019,Power BI Introduction,Dover Court,5
08/05/2019,Excel Level 3,Surrey House,6
10/12/2019,Power BI Introduction,Surrey House,12
26/07/2019,Excel Level 3,Surrey House,5
25/03/2019,Power BI Introduction,Dover Court,4
18/11/2019,Excel Formulas and Functions,Dover Court,5
17/03/2019,Excel Level 3,Warwick Street,6
10/03/2019,Excel Level 2,Surrey House,5
08/12/2019,Power BI Introduction,Dover Court,11
15/11/2019,Excel PivotTables,Surrey House,6
27/02/2019,Excel Formulas and Functions,Dover Court,6
15/09/2019,Excel Formulas and Functions,Hampton,12
21/12/2019,Excel VBA,Warwick Street,5
05/12/2019,Excel Level 2,Hampton,6
08/02/2019,Excel Level 1,Hampton,6
23/12/2019,Excel Formulas and Functions,Dover Court,4
10/08/2019,Excel Level 2,Dover Court,6
18/10/2019,Excel Level 1,Dover Court,6
24/12/2019,Excel Level 1,Dover Court,12
29/04/2019,Excel Dashboards,Warwick Street,5
02/12/2019,Mastering DAX,Hampton,6
12/11/2019,Excel Level 3,Hampton,6
26/04/2019,Power BI Introduction,Warwick Street,6
15/01/2019,Excel Best Practise & Tips,Surrey House,5
11/04/2019,Power BI Introduction,Surrey House,5
24/01/2019,Excel Level 3,Dover Court,6
08/12/2019,Excel Level 3,Warwick Street,5
01/12/2019,Excel PivotTables,Dover Court,5
19/11/2019,Excel Level 1,Dover Court,5
26/07/2019,Excel Formulas and Functions,Warwick Street,6
09/06/2019,Excel Formulas and Functions,Hampton,4
29/11/2019,Power Query & Power Pivot,Warwick Street,5
25/10/2019,Power BI Introduction,Surrey House,5
19/06/2019,Power BI Introduction,Warwick Street,6
30/09/2019,Excel Formulas and Functions,Warwick Street,4
18/11/2019,Excel Formulas and Functions,Warwick Street,6
22/05/2019,Excel VBA,Warwick Street,12
27/12/2019,Excel Dashboards,Warwick Street,5
20/02/2019,Excel PivotTables,Warwick Street,4
31/01/2019,Power Query & Power Pivot,Dover Court,6
18/06/2019,Power BI Introduction,Surrey House,12
18/12/2019,Excel Level 1,Warwick Street,5
26/12/2019,Excel Level 1,Dover Court,5
17/11/2019,Power BI Introduction,Surrey House,5
13/04/2019,Mastering DAX,Warwick Street,5
25/11/2019,Excel Formulas and Functions,Dover Court,6
10/09/2019,Excel Level 3,Dover Court,6
26/05/2019,Excel Level 1,Warwick Street,4
13/03/2019,Mastering DAX,Surrey House,6
27/02/2019,Excel VBA,Dover Court,5
11/03/2019,Excel Formulas and Functions,Warwick Street,5
04/10/2019,Excel Level 3,Surrey House,6
15/11/2019,Excel Dashboards,Dover Court,4
30/03/2019,Excel Level 2,Hampton,5
08/11/2019,Power BI Introduction,Hampton,6
27/12/2019,Power Query,Warwick Street,8
05/11/2019,Excel Formulas and Functions,Warwick Street,3
27/05/2019,Excel Level 1,Warwick Street,6
13/09/2019,Excel Dashboards,Surrey House,6
27/12/2019,Excel Level 3,Dover Court,4
25/04/2019,Excel PivotTables,Hampton,5
16/12/2019,Power BI Introduction,Warwick Street,4
12/12/2019,Excel Dashboards,Dover Court,4
09/12/2019,Excel Dashboards,Warwick Street,5
26/11/2019,Power Query,Surrey House,1
24/06/2019,Mastering DAX,Dover Court,3
05/01/2019,Excel Level 1,Warwick Street,12
09/10/2019,Excel Dashboards,Dover Court,4
06/01/2019,Excel Level 3,Surrey House,12
11/12/2019,Power Query & Power Pivot,Warwick Street,12
23/11/2019,Excel Formulas and Functions,Warwick Street,4
09/03/2019,Power BI Introduction,Surrey House,4
15/07/2019,Power BI Introduction,Warwick Street,5
14/01/2019,Excel Formulas and Functions,Dover Court,6
25/02/2019,Mastering DAX,Surrey House,6
13/02/2019,Mastering DAX,Warwick Street,11
28/11/2019,Excel Level 3,Warwick Street,6
23/11/2019,Excel VBA,Warwick Street,6
24/11/2019,Excel Level 3,Surrey House,4
06/08/2019,Power BI Introduction,Warwick Street,5
26/12/2019,Power BI Introduction,Dover Court,6
15/02/2019,Excel Level 1,Warwick Street,6
16/11/2019,Mastering DAX,Warwick Street,6
02/03/2019,Excel PivotTables,Warwick Street,12
29/11/2019,Excel Level 3,Warwick Street,6
18/11/2019,Excel Level 3,Dover Court,6
25/07/2019,Power BI Introduction,Dover Court,4
12/02/2019,Excel Formulas and Functions,Warwick Street,6
23/12/2019,Excel Level 1,Dover Court,6
18/09/2019,Excel Formulas and Functions,Surrey House,5
18/11/2019,Excel Formulas and Functions,Dover Court,5
14/04/2019,Excel Formulas and Functions,Warwick Street,5
03/06/2019,Excel Level 2,Warwick Street,5
14/12/2019,Excel Level 1,Dover Court,4
12/03/2019,Power BI Introduction,Warwick Street,5
22/06/2019,Power BI Introduction,Warwick Street,12
03/12/2019,Excel Level 3,Warwick Street,3
01/03/2019,Power BI Introduction,Surrey House,5
23/06/2019,Excel Formulas and Functions,Dover Court,5
05/03/2019,Excel Level 3,Warwick Street,5
03/04/2019,Excel Level 2,Dover Court,5
31/01/2019,Excel Level 1,Hampton,6
07/01/2019,Power BI Introduction,Warwick Street,4
23/07/2019,Excel VBA,Surrey House,6
21/05/2019,Excel Dashboards,Dover Court,6
20/09/2019,Excel VBA,Surrey House,6
10/12/2019,Excel Dashboards,Warwick Street,4
23/10/2019,Excel Level 1,Hampton,4
30/08/2019,Excel Dashboards,Surrey House,4
18/05/2019,Excel Dashboards,Warwick Street,5
08/12/2019,Excel Dashboards,Warwick Street,5
25/09/2019,Excel Dashboards,Warwick Street,6
13/11/2019,Power BI Introduction,Surrey House,4
08/04/2019,Excel Level 1,Hampton,5
25/02/2019,Excel Level 2,Warwick Street,6
15/05/2019,Excel VBA,Dover Court,6
07/09/2019,Power BI Introduction,Surrey House,3
21/11/2019,Excel Level 1,Warwick Street,6
19/09/2019,Excel Level 3,Surrey House,1
01/08/2019,Excel VBA,Warwick Street,6
17/10/2019,Excel Level 1,Hampton,4
16/04/2019,Power BI Introduction,Surrey House,5
30/04/2019,Excel PivotTables,Hampton,6
20/12/2019,Excel Level 3,Warwick Street,5
27/12/2019,Excel Dashboards,Warwick Street,6
02/08/2019,Excel Formulas and Functions,Surrey House,3
03/11/2019,Power Query & Power Pivot,Hampton,6
27/11/2019,Excel Level 1,Hampton,3
01/05/2019,Excel Level 3,Surrey House,6
16/08/2019,Excel Dashboards,Warwick Street,3
09/12/2019,Excel Level 1,Dover Court,6
06/12/2019,Excel Level 1,Dover Court,4
27/06/2019,Excel Level 2,Warwick Street,6
13/11/2019,Excel Formulas and Functions,Warwick Street,4
01/12/2019,Excel Level 3,Surrey House,6
10/06/2019,Power BI Introduction,Warwick Street,6
19/07/2019,Excel Level 1,Hampton,3
17/06/2019,Power BI Introduction,Warwick Street,5
24/03/2019,Power BI Introduction,Dover Court,5
23/12/2019,Excel VBA,Surrey House,6
28/06/2019,Power BI Introduction,Dover Court,5
28/12/2019,Power BI Introduction,Dover Court,6
22/03/2019,Power BI Introduction,Dover Court,5
05/12/2019,Power BI Introduction,Hampton,5
24/11/2019,Power Query,Hampton,5
22/05/2019,Excel Level 1,Hampton,5
03/03/2019,Excel Level 1,Warwick Street,6
13/06/2019,Excel VBA,Dover Court,12
06/07/2019,Excel PivotTables,Warwick Street,5
28/07/2019,Excel Level 1,Surrey House,12
04/12/2019,Excel Level 3,Warwick Street,6
07/11/2019,Power Query,Dover Court,6
20/05/2019,Power Query,Hampton,6
01/01/2019,Excel Level 3,Warwick Street,4
