Date	ProductID	SalesRepID	Units
12/16/21	2	2	100
9/30/23	2	3	2
10/13/23	1	1	83
4/30/23	2	2	210
5/8/23	2	2	5
7/19/23	3	3	91
3/4/22	3	4	2
5/25/23	2	2	56
8/1/22	2	2	4
4/5/22	2	2	2
4/28/21	3	2	18
9/30/23	2	4	266
12/1/21	2	4	78
11/10/22	2	2	100
12/19/22	3	2	2
12/14/23	1	2	101
9/23/23	2	4	115
9/12/23	4	2	292
9/28/21	4	2	31
2/16/22	2	3	73
12/24/21	3	4	1
12/14/23	2	2	89
3/30/22	2	2	209
3/22/21	2	2	90
11/6/23	2	2	75
11/14/22	2	4	2
12/10/21	1	2	200
8/8/23	4	4	18
4/20/23	2	3	63
11/14/23	4	1	6
2/14/23	3	2	89
10/20/23	2	2	280
8/25/22	2	2	264
10/2/21	2	4	4
5/30/22	2	2	3
7/12/22	2	4	4
9/4/21	2	2	1
5/11/23	1	4	1
11/23/22	1	4	5
7/6/22	3	4	224
6/17/22	2	2	5
5/15/22	3	3	4
4/13/22	3	4	4
9/6/22	2	2	168
11/21/22	2	4	64
11/13/21	2	2	3
12/8/21	3	3	79
7/16/22	2	2	4
12/23/23	4	3	147
11/10/23	2	3	107
7/12/21	1	3	99
10/13/21	1	2	3
5/25/23	2	2	109
5/21/22	1	2	97
9/23/22	2	4	100
11/10/22	2	2	2
11/18/22	2	2	6
6/2/22	2	2	61
10/20/22	3	2	104
12/13/23	2	2	280
11/25/23	3	2	48
8/15/23	1	2	6
6/21/21	2	2	3
12/12/23	1	4	94
11/15/22	2	1	1
7/25/23	3	2	144
12/10/23	2	1	3
11/18/23	2	4	183
12/12/21	4	2	6
11/28/22	4	1	5
5/16/23	2	1	3
11/23/22	1	1	58
12/7/22	1	4	97
12/23/22	2	2	105
12/6/23	3	4	5
9/10/21	2	4	57
11/11/23	1	2	120
11/1/21	2	1	5
12/9/23	2	2	3
6/17/22	1	4	107
4/16/23	2	2	1
10/11/23	2	4	106
10/2/21	2	4	1
6/2/22	2	2	263
7/28/23	2	2	4
11/17/21	2	2	82
12/20/22	2	3	3
12/12/21	2	2	127
11/13/22	4	3	46
11/5/22	2	3	105
5/11/21	1	2	8
12/12/21	1	4	168
11/12/21	2	2	3
8/14/23	2	2	92
5/6/23	4	4	4
12/14/21	2	2	90
5/3/22	2	4	233
6/1/22	2	4	253
10/21/21	2	3	101
12/22/23	2	2	247
11/17/23	2	3	75
4/18/22	2	4	111
8/31/21	3	4	93
7/3/21	2	2	3
10/26/23	2	4	137
5/11/21	1	2	3
8/25/23	3	2	3
11/11/22	1	2	280
11/2/21	2	3	70
6/24/22	2	4	64
12/3/22	2	2	3
12/2/23	2	2	74
7/24/21	2	3	5
3/30/23	2	2	45
4/13/21	1	2	39
11/3/22	2	2	1
12/12/23	2	2	291
4/8/21	2	4	5
7/3/23	2	2	5
12/3/23	3	4	234
8/6/22	4	4	88
7/31/21	2	3	215
2/19/22	3	3	74
7/16/23	2	3	115
12/14/23	2	4	93
9/24/22	2	1	153
12/15/21	2	4	95
12/16/21	3	2	101
12/16/22	2	3	114
12/28/21	4	4	40
12/31/22	3	4	2
12/1/23	2	4	83
11/13/23	2	3	183
12/28/22	2	4	4
7/13/22	4	4	24
1/27/22	2	4	4
10/5/23	2	4	3
12/24/23	3	4	1
11/29/21	2	2	60
11/21/23	4	4	1
5/28/23	1	2	123
11/24/23	2	4	1
4/26/23	3	3	114
1/14/23	3	2	107
11/20/21	4	2	192
12/27/21	4	4	105
12/23/23	2	2	122
11/18/22	2	4	2
8/6/21	2	4	94
11/27/22	4	3	6
11/10/23	2	2	83
12/30/22	2	4	6
7/10/21	2	1	78
6/11/21	2	4	91
9/16/23	2	4	4
12/7/22	2	2	25
10/31/23	3	2	74
5/13/22	4	4	258
11/2/22	4	4	5
7/20/23	2	2	114
12/13/22	2	4	8
4/12/21	2	4	70
10/22/23	2	2	15
11/29/21	2	3	39
11/13/22	4	2	2
8/6/21	2	3	2
3/17/21	3	1	119
5/1/22	2	4	53
11/4/22	2	4	4
12/18/22	2	2	4
10/13/23	2	2	77
2/21/22	2	4	163
12/20/22	3	1	81
4/23/23	2	4	186
7/18/22	2	4	1
6/6/21	3	4	3
12/23/21	2	4	100
6/18/22	1	1	62
12/4/21	2	2	61
11/21/22	4	2	106
4/22/23	4	2	282
4/5/21	2	2	189
10/16/21	2	2	288
7/18/21	2	4	66
12/14/21	1	4	8
8/4/23	2	4	97
6/17/23	4	4	1
11/3/22	4	2	127
11/7/22	3	2	252
12/28/23	2	4	87
11/9/22	3	4	1
9/3/22	2	2	3
11/13/23	1	2	81
9/12/23	2	2	93
11/30/22	4	4	225
7/6/22	1	2	58
10/11/21	2	1	50
11/12/23	2	2	126
8/10/23	2	3	1
5/2/22	3	1	2
12/19/22	2	4	1
4/30/23	2	4	174
4/7/21	2	3	90
9/3/23	2	4	5
8/31/22	2	3	6
11/13/22	2	2	2
11/30/22	2	4	105
12/4/22	2	2	88
12/21/21	4	4	93
7/11/22	3	2	5
7/27/21	1	3	1
11/17/23	4	1	94
12/22/22	4	4	2
11/13/22	4	1	65
9/5/22	2	2	192
3/26/22	1	4	1
12/26/22	2	4	68
6/22/22	2	4	69
2/15/23	2	4	96
5/2/22	3	4	105
9/15/23	4	4	79
11/13/21	2	4	140
8/22/23	3	2	212
11/20/23	2	3	68
11/14/23	4	2	32
9/1/21	2	1	49
12/31/23	2	4	109
4/13/23	2	2	174
9/29/23	2	1	251
12/29/21	1	4	6
4/7/22	2	3	69
11/25/21	2	2	66
5/22/22	2	2	216
12/19/21	3	4	162
11/13/22	4	1	73
11/17/22	2	1	90
5/20/21	4	1	245
6/3/22	2	2	6
11/4/22	2	4	94
8/18/23	4	4	5
3/10/23	2	4	105
11/6/23	2	3	91
12/7/22	2	2	51
12/2/21	2	2	4
8/23/23	2	4	160
1/21/23	2	2	291
2/16/23	4	2	68
12/31/21	1	2	4
11/24/21	3	2	292
11/27/23	1	4	115
12/11/22	3	1	82
10/6/23	2	4	84
9/1/23	2	4	5
12/14/21	4	2	99
10/6/23	1	2	209
9/5/23	2	4	51
9/4/21	2	2	203
12/9/21	1	4	69
10/26/21	2	2	2
11/14/21	2	2	6
10/10/21	3	4	5
7/27/21	1	3	17
8/30/22	2	2	102
12/5/23	2	2	5
6/10/22	2	2	1
12/25/23	1	2	56
10/7/21	2	4	86
7/20/21	2	4	110
11/6/22	1	2	6
5/2/23	2	4	128
12/22/21	2	4	124
11/25/21	2	2	100
4/6/21	1	2	5
11/8/22	2	4	97
8/30/22	3	2	65
5/31/22	2	4	293
4/17/23	2	4	105
10/4/23	2	4	57
10/22/21	2	2	2
8/4/23	2	2	82
5/12/21	2	4	5
9/3/21	3	2	58
5/5/21	3	2	4
6/20/22	3	4	12
12/20/23	3	4	107
8/17/21	2	2	84
4/6/22	2	2	49
8/28/22	2	2	3
12/24/21	2	4	284
12/31/22	2	4	5
8/29/22	2	4	4
12/29/22	2	4	4
11/21/23	4	4	93
12/20/21	2	2	82
12/16/22	1	2	4
3/30/21	3	4	130
4/20/23	1	3	4
12/26/22	4	2	91
12/26/21	4	4	98
3/1/23	2	4	242
12/5/22	2	4	169
8/26/21	3	2	5
5/27/21	2	2	77
12/22/21	4	2	279
10/9/21	2	2	5
1/11/22	2	4	113
12/30/23	3	4	94
12/27/21	1	4	6
10/19/23	2	2	109
11/5/22	1	2	1
1/17/21	2	2	200
12/13/23	3	4	2
3/9/23	1	2	69
12/2/22	3	2	198
4/22/21	2	4	6
7/23/23	2	4	27
11/9/23	1	4	286
12/31/22	4	4	4
5/31/22	2	4	44
11/24/22	1	2	4
2/11/23	3	4	225
1/16/22	2	4	231
6/7/22	3	4	249
1/31/21	4	4	63
11/3/23	1	2	74
2/20/23	2	2	158
11/28/21	3	4	4
4/30/21	2	2	3
4/29/23	4	4	73
12/31/21	2	1	5
11/4/23	2	4	141
11/10/23	4	3	134
11/29/21	1	1	74
12/17/23	3	4	47
12/6/22	2	2	161
4/16/21	3	4	1
6/7/22	2	4	4
12/6/21	2	4	71
11/10/21	1	2	3
12/19/23	2	4	5
11/18/22	2	1	82
11/21/23	2	2	6
7/24/23	2	4	3
12/26/22	1	2	21
10/7/21	2	4	90
8/6/21	2	2	93
7/27/23	2	4	2
4/15/21	2	2	286
10/21/22	2	2	6
10/21/23	2	4	11
12/30/21	2	4	252
12/21/22	1	2	63
6/22/21	2	2	90
9/15/23	4	2	43
11/28/23	2	2	59
7/26/22	2	2	274
12/19/22	4	2	57
11/11/22	2	1	3
11/15/21	4	2	6
12/23/22	2	2	2
12/22/23	4	4	37
10/22/23	2	4	248
11/2/23	2	1	116
7/1/22	2	4	66
4/8/23	4	3	5
7/30/22	2	4	126
10/1/22	2	4	121
11/11/23	2	4	126
12/30/21	2	2	4
9/27/21	3	4	2
11/14/23	1	3	185
4/4/23	2	2	6
10/22/21	3	4	159
11/9/21	3	4	1
10/2/22	2	2	4
8/11/21	2	2	82
7/18/21	3	2	11
12/20/21	2	3	65
10/18/21	2	2	3
12/31/21	1	3	69
9/1/22	2	1	3
12/22/22	1	2	72
5/30/22	3	2	64
7/1/23	4	4	80
12/31/22	3	2	2
8/6/22	2	2	176
5/10/23	4	3	110
7/31/22	4	4	1
10/31/23	2	4	69
11/25/22	2	4	5
7/15/21	2	1	1
7/21/23	2	2	107
11/29/22	2	4	285
11/19/21	1	4	3
9/24/23	2	2	131
7/7/23	2	2	88
