Date,Course,Venue,Attendees
15/06/2018,Excel Level 1,Dover Court,3
17/05/2018,Excel Level 3,Hampton,10
29/09/2018,Excel PivotTables,Dover Court,5
24/11/2018,Excel Dashboards,Dover Court,7
03/12/2018,Power BI Introduction,Warwick Street,8
25/04/2018,Power Query & Power Pivot,Dover Court,3
21/01/2018,Excel Level 1,Warwick Street,7
09/09/2018,Excel Dashboards,Hampton,5
08/06/2018,Excel Dashboards,Surrey House,3
05/08/2018,Excel Level 1,Warwick Street,9
15/10/2018,Excel Best Practise & Tips,Surrey House,9
31/07/2018,Excel Level 3,Warwick Street,3
24/11/2018,Excel Dashboards,Surrey House,3
07/11/2018,Excel Level 3,Dover Court,5
29/10/2018,Excel Dashboards,Warwick Street,3
28/11/2018,Power BI Introduction,Hampton,3
29/08/2018,Excel Formulas and Functions,Surrey House,5
24/04/2018,Mastering DAX,Surrey House,5
27/06/2018,Excel Level 2,Warwick Street,8
28/01/2018,Excel Level 3,Warwick Street,8
07/01/2018,Excel Best Practise & Tips,Surrey House,5
24/12/2018,Mastering DAX,Warwick Street,5
09/10/2018,Excel Level 3,Hampton,7
05/10/2018,Excel Level 3,Warwick Street,9
20/12/2018,Excel Level 2,Surrey House,10
20/08/2018,Excel Best Practise & Tips,Hampton,7
18/09/2018,Mastering DAX,Warwick Street,5
28/07/2018,Excel Level 3,Surrey House,5
30/11/2018,Excel Formulas and Functions,Warwick Street,3
02/06/2018,Excel Level 1,Dover Court,3
30/11/2018,Excel Formulas and Functions,Surrey House,1
03/08/2018,Excel Dashboards,Hampton,7
01/01/2018,Excel PivotTables,Surrey House,5
02/01/2018,Excel Formulas and Functions,Surrey House,5
16/02/2018,Excel PivotTables,Warwick Street,5
30/11/2018,Power BI Introduction,Dover Court,5
19/12/2018,Excel Level 1,Warwick Street,7
03/02/2018,Excel Level 3,Warwick Street,8
19/11/2018,Excel Level 3,Surrey House,4
25/08/2018,Excel VBA,Hampton,3
31/05/2018,Excel Dashboards,Warwick Street,5
10/12/2018,Excel Level 1,Dover Court,3
13/12/2018,Excel Level 1,Warwick Street,5
24/12/2018,Power Query & Power Pivot,Hampton,5
02/10/2018,Excel Dashboards,Dover Court,2
07/12/2018,Excel Best Practise & Tips,Dover Court,7
28/07/2018,Excel Level 3,Warwick Street,3
29/08/2018,Excel Level 2,Dover Court,6
02/12/2018,Excel Dashboards,Dover Court,8
16/09/2018,Mastering DAX,Surrey House,5
24/06/2018,Mastering DAX,Surrey House,3
22/04/2018,Excel Level 1,Dover Court,3
13/07/2018,Mastering DAX,Surrey House,10
30/11/2018,Excel Level 3,Dover Court,3
01/02/2018,Mastering DAX,Warwick Street,3
24/12/2018,Excel Level 1,Hampton,7
18/11/2018,Excel Level 3,Surrey House,3
23/08/2018,Excel Level 3,Warwick Street,5
19/06/2018,Excel Level 2,Hampton,3
09/01/2018,Excel Level 3,Dover Court,3
12/12/2018,Excel VBA,Warwick Street,8
17/08/2018,Mastering DAX,Hampton,5
02/07/2018,Excel Level 3,Hampton,2
15/10/2018,Excel Level 3,Warwick Street,5
03/07/2018,Excel Formulas and Functions,Surrey House,5
18/01/2018,Power BI Introduction,Hampton,5
22/12/2018,Excel Formulas and Functions,Hampton,5
19/02/2018,Excel Dashboards,Hampton,2
04/12/2018,Excel PivotTables,Warwick Street,8
05/05/2018,Excel Best Practise & Tips,Warwick Street,5
31/05/2018,Excel Dashboards,Warwick Street,5
13/10/2018,Excel Level 3,Warwick Street,10
20/01/2018,Excel Level 2,Warwick Street,5
06/12/2018,Power BI Introduction,Warwick Street,5
05/12/2018,Excel Level 3,Dover Court,5
08/06/2018,Excel Formulas and Functions,Dover Court,7
02/12/2018,Excel Dashboards,Surrey House,5
09/03/2018,Excel Best Practise & Tips,Hampton,2
09/09/2018,Excel Best Practise & Tips,Warwick Street,10
23/06/2018,Excel Level 3,Warwick Street,3
20/04/2018,Excel PivotTables,Warwick Street,3
09/03/2018,Excel Level 1,Surrey House,3
24/11/2018,Excel Formulas and Functions,Warwick Street,3
18/11/2018,Excel Level 2,Warwick Street,10
18/05/2018,Mastering DAX,Hampton,5
29/11/2018,Excel Level 3,Dover Court,2
23/11/2018,Excel Dashboards,Warwick Street,10
15/02/2018,Excel Level 1,Hampton,2
26/06/2018,Excel Level 3,Warwick Street,5
04/08/2018,Excel Formulas and Functions,Warwick Street,3
29/11/2018,Mastering DAX,Warwick Street,5
08/01/2018,Mastering DAX,Hampton,10
25/11/2018,Excel Level 3,Surrey House,5
19/07/2018,Excel Level 1,Surrey House,3
13/12/2018,Mastering DAX,Surrey House,3
10/12/2018,Excel PivotTables,Surrey House,10
26/08/2018,Excel Dashboards,Warwick Street,5
21/11/2018,Excel Level 3,Warwick Street,3
20/12/2018,Excel Level 3,Hampton,2
15/02/2018,Excel Level 3,Warwick Street,7
22/06/2018,Excel Level 1,Warwick Street,1
09/11/2018,Power BI Introduction,Warwick Street,2
19/11/2018,Excel Formulas and Functions,Surrey House,2
16/09/2018,Excel Formulas and Functions,Hampton,3
05/04/2018,Excel Dashboards,Warwick Street,2
01/12/2018,Excel Level 1,Warwick Street,9
30/05/2018,Excel Dashboards,Warwick Street,2
27/11/2018,Mastering DAX,Dover Court,7
22/11/2018,Excel Level 1,Surrey House,7
15/06/2018,Excel Best Practise & Tips,Warwick Street,5
26/11/2018,Excel Level 3,Warwick Street,2
22/12/2018,Excel Best Practise & Tips,Dover Court,3
08/11/2018,Excel Dashboards,Dover Court,5
06/06/2018,Excel Level 3,Warwick Street,3
12/08/2018,Excel Level 3,Dover Court,2
14/06/2018,Excel Formulas and Functions,Surrey House,3
18/11/2018,Excel Level 3,Hampton,2
13/08/2018,Excel Best Practise & Tips,Warwick Street,5
21/11/2018,Excel Level 2,Warwick Street,7
25/10/2018,Excel PivotTables,Warwick Street,5
15/06/2018,Excel Level 1,Warwick Street,7
18/08/2018,Excel Dashboards,Surrey House,5
24/11/2018,Excel Dashboards,Hampton,3
15/12/2018,Mastering DAX,Warwick Street,5
06/05/2018,Excel Best Practise & Tips,Warwick Street,5
20/12/2018,Excel Level 3,Dover Court,10
01/02/2018,Excel Level 3,Warwick Street,10
03/11/2018,Excel Formulas and Functions,Hampton,3
30/10/2018,Excel Level 1,Dover Court,2
14/07/2018,Excel Level 2,Warwick Street,3
24/06/2018,Excel Level 3,Warwick Street,3
22/11/2018,Excel Formulas and Functions,Warwick Street,5
17/12/2018,Excel Dashboards,Warwick Street,3
20/12/2018,Excel Level 3,Hampton,3
08/01/2018,Excel Dashboards,Dover Court,3
19/12/2018,Excel Best Practise & Tips,Warwick Street,3
05/12/2018,Excel Formulas and Functions,Warwick Street,5
05/07/2018,Excel Dashboards,Hampton,10
25/05/2018,Excel Dashboards,Dover Court,3
31/08/2018,Excel Level 2,Warwick Street,7
24/04/2018,Excel Formulas and Functions,Dover Court,10
26/11/2018,Excel Level 3,Dover Court,5
05/10/2018,Power BI Introduction,Warwick Street,3
08/03/2018,Excel Dashboards,Surrey House,3
04/07/2018,Excel Level 3,Warwick Street,3
06/03/2018,Excel Formulas and Functions,Hampton,2
28/03/2018,Excel Level 3,Warwick Street,3
01/05/2018,Excel Level 2,Dover Court,3
22/04/2018,Excel Level 2,Surrey House,5
11/03/2018,Excel Formulas and Functions,Warwick Street,5
09/06/2018,Excel Level 3,Dover Court,7
01/09/2018,Power BI Introduction,Warwick Street,4
16/05/2018,Excel Level 2,Warwick Street,5
10/12/2018,Excel Level 3,Hampton,3
29/07/2018,Excel Dashboards,Hampton,3
01/12/2018,Mastering DAX,Surrey House,6
22/08/2018,Excel Dashboards,Hampton,3
10/12/2018,Excel Level 3,Warwick Street,5
05/02/2018,Excel Level 1,Hampton,3
13/10/2018,Excel Dashboards,Warwick Street,5
11/09/2018,Mastering DAX,Hampton,3
03/11/2018,Excel Level 3,Hampton,2
13/12/2018,Excel Level 3,Hampton,7
12/10/2018,Excel Level 3,Warwick Street,1
02/10/2018,Excel Level 3,Dover Court,3
14/06/2018,Excel Formulas and Functions,Hampton,5
20/11/2018,Excel Level 3,Hampton,7
30/11/2018,Excel Dashboards,Surrey House,7
30/03/2018,Mastering DAX,Surrey House,8
13/06/2018,Excel Level 1,Dover Court,7
16/09/2018,Excel Level 1,Dover Court,5
28/11/2018,Excel Level 2,Warwick Street,3
17/03/2018,Excel Level 3,Warwick Street,2
05/10/2018,Excel Dashboards,Surrey House,3
15/04/2018,Excel Formulas and Functions,Hampton,3
23/11/2018,Excel Level 1,Hampton,7
10/10/2018,Excel Level 3,Warwick Street,3
09/04/2018,Excel Best Practise & Tips,Dover Court,7
30/10/2018,Excel Level 3,Warwick Street,5
30/11/2018,Excel Dashboards,Warwick Street,2
18/02/2018,Power Query & Power Pivot,Warwick Street,3
29/01/2018,Excel Level 3,Hampton,5
24/12/2018,Excel Level 3,Warwick Street,4
06/11/2018,Excel Level 3,Warwick Street,5
04/08/2018,Excel Level 3,Dover Court,10
18/08/2018,Excel Level 2,Warwick Street,3
11/06/2018,Excel Formulas and Functions,Warwick Street,7
27/11/2018,Excel VBA,Surrey House,3
08/09/2018,Excel Dashboards,Warwick Street,5
25/08/2018,Excel VBA,Warwick Street,6
25/12/2018,Excel Level 2,Hampton,5
18/05/2018,Excel Formulas and Functions,Warwick Street,5
04/09/2018,Excel Level 3,Hampton,3
30/06/2018,Excel Level 3,Warwick Street,5
26/07/2018,Excel PivotTables,Warwick Street,3
10/12/2018,Power Query & Power Pivot,Dover Court,3
20/12/2018,Excel Level 2,Warwick Street,3
23/06/2018,Mastering DAX,Surrey House,5
04/12/2018,Excel Dashboards,Warwick Street,10
01/03/2018,Excel VBA,Warwick Street,3
21/02/2018,Excel Dashboards,Warwick Street,3
31/01/2018,Mastering DAX,Hampton,3
15/02/2018,Power Query & Power Pivot,Surrey House,5
05/12/2018,Excel Formulas and Functions,Warwick Street,5
05/12/2018,Power BI Introduction,Warwick Street,7
06/03/2018,Excel Level 3,Warwick Street,7
20/12/2018,Excel Formulas and Functions,Dover Court,5
01/12/2018,Excel Level 1,Warwick Street,7
30/03/2018,Excel Formulas and Functions,Hampton,5
10/08/2018,Excel Dashboards,Surrey House,3
08/10/2018,Excel Level 3,Dover Court,2
18/05/2018,Mastering DAX,Warwick Street,3
27/10/2018,Excel Level 3,Warwick Street,5
15/12/2018,Excel VBA,Hampton,3
02/11/2018,Excel Level 3,Warwick Street,3
06/12/2018,Excel Dashboards,Warwick Street,2
03/05/2018,Excel Level 3,Warwick Street,5
03/05/2018,Excel VBA,Hampton,2
20/05/2018,Excel Dashboards,Warwick Street,3
22/07/2018,Excel Best Practise & Tips,Surrey House,10
26/12/2018,Mastering DAX,Warwick Street,3
03/12/2018,Excel Level 1,Hampton,3
28/10/2018,Excel Dashboards,Warwick Street,8
31/01/2018,Power Query & Power Pivot,Surrey House,2
22/10/2018,Excel Best Practise & Tips,Warwick Street,5
30/08/2018,Excel Formulas and Functions,Dover Court,3
01/12/2018,Mastering DAX,Warwick Street,5
06/12/2018,Excel Best Practise & Tips,Hampton,8
13/06/2018,Power BI Introduction,Dover Court,3
07/02/2018,Mastering DAX,Warwick Street,2
13/05/2018,Excel Dashboards,Hampton,5
09/03/2018,Excel Level 2,Hampton,5
23/10/2018,Mastering DAX,Dover Court,3
20/04/2018,Excel Best Practise & Tips,Dover Court,5
10/12/2018,Excel Level 1,Surrey House,5
24/05/2018,Power BI Introduction,Warwick Street,3
25/11/2018,Mastering DAX,Warwick Street,5
31/12/2018,Excel Level 3,Warwick Street,5
22/05/2018,Excel Level 3,Warwick Street,5
14/12/2018,Excel Dashboards,Hampton,3
20/11/2018,Excel Level 3,Dover Court,3
11/09/2018,Excel Level 1,Warwick Street,3
03/12/2018,Excel Level 2,Hampton,7
18/12/2018,Excel Level 2,Hampton,2
16/04/2018,Excel Formulas and Functions,Warwick Street,2
01/11/2018,Excel Level 1,Dover Court,3
12/03/2018,Excel Formulas and Functions,Warwick Street,3
08/06/2018,Excel Dashboards,Surrey House,6
24/02/2018,Power BI Introduction,Warwick Street,3
05/05/2018,Power Query & Power Pivot,Warwick Street,5
23/09/2018,Excel Level 3,Dover Court,2
09/08/2018,Excel Level 3,Dover Court,5
26/05/2018,Excel Dashboards,Hampton,3
27/11/2018,Excel Level 1,Warwick Street,2
23/12/2018,Excel Best Practise & Tips,Dover Court,7
30/12/2018,Excel Formulas and Functions,Dover Court,3
30/11/2018,Excel Formulas and Functions,Surrey House,3
25/05/2018,Excel Level 3,Warwick Street,3
21/11/2018,Excel Level 3,Hampton,3
24/11/2018,Excel Level 1,Warwick Street,4
24/12/2018,Excel Level 3,Warwick Street,3
03/11/2018,Excel Level 3,Surrey House,3
11/03/2018,Excel Level 3,Warwick Street,5
18/12/2018,Mastering DAX,Warwick Street,3
26/03/2018,Mastering DAX,Hampton,5
09/12/2018,Excel Level 1,Warwick Street,5
07/03/2018,Excel Level 3,Hampton,7
21/11/2018,Excel Best Practise & Tips,Surrey House,5
15/12/2018,Excel Level 3,Warwick Street,10
21/11/2018,Excel Level 1,Hampton,3
26/05/2018,Excel Level 3,Dover Court,2
19/11/2018,Excel Level 2,Warwick Street,7
19/01/2018,Excel Formulas and Functions,Hampton,7
20/10/2018,Excel Formulas and Functions,Warwick Street,3
09/10/2018,Power BI Introduction,Warwick Street,7
11/06/2018,Excel Best Practise & Tips,Dover Court,1
15/07/2018,Excel Formulas and Functions,Warwick Street,1
20/11/2018,Power BI Introduction,Warwick Street,5
18/10/2018,Excel Level 3,Warwick Street,5
02/11/2018,Mastering DAX,Warwick Street,7
04/07/2018,Excel Level 3,Warwick Street,2
19/12/2018,Excel Level 1,Warwick Street,3
04/10/2018,Excel Formulas and Functions,Hampton,3
08/12/2018,Excel Level 3,Warwick Street,3
14/12/2018,Excel Level 3,Dover Court,3
15/12/2018,Excel Level 3,Surrey House,3
27/04/2018,Excel Dashboards,Warwick Street,5
06/12/2018,Excel Best Practise & Tips,Hampton,3
14/03/2018,Excel Level 3,Hampton,3
01/11/2018,Excel Level 3,Warwick Street,5
13/06/2018,Mastering DAX,Hampton,8
03/04/2018,Excel Level 3,Hampton,4
06/12/2018,Excel Formulas and Functions,Warwick Street,3
17/02/2018,Excel Level 3,Hampton,10
03/10/2018,Power Query & Power Pivot,Surrey House,1
17/07/2018,Power BI Introduction,Hampton,7
08/12/2018,Power BI Introduction,Warwick Street,3
02/03/2018,Excel Level 3,Hampton,5
19/09/2018,Excel Dashboards,Warwick Street,5
17/08/2018,Excel Dashboards,Surrey House,5
25/06/2018,Excel Level 3,Surrey House,5
19/12/2018,Excel Level 1,Hampton,5
09/12/2018,Excel Level 1,Dover Court,3
08/09/2018,Excel Formulas and Functions,Hampton,3
20/06/2018,Excel Level 3,Dover Court,5
05/11/2018,Excel VBA,Warwick Street,5
30/01/2018,Excel Level 3,Warwick Street,3
18/08/2018,Power BI Introduction,Dover Court,3
26/03/2018,Excel Formulas and Functions,Warwick Street,9
24/10/2018,Excel Level 3,Surrey House,5
12/12/2018,Excel Level 3,Surrey House,3
24/04/2018,Excel Dashboards,Warwick Street,3
16/10/2018,Power Query,Surrey House,3
01/05/2018,Excel Level 3,Hampton,7
07/12/2018,Excel Level 3,Dover Court,3
27/05/2018,Excel Level 3,Warwick Street,5
17/09/2018,Excel Level 1,Warwick Street,3
03/12/2018,Excel Level 3,Warwick Street,5
24/12/2018,Mastering DAX,Dover Court,7
26/07/2018,Power BI Introduction,Warwick Street,3
25/08/2018,Excel Formulas and Functions,Hampton,4
12/07/2018,Mastering DAX,Warwick Street,5
06/05/2018,Excel Dashboards,Hampton,7
31/07/2018,Excel Level 3,Hampton,2
20/12/2018,Power Query & Power Pivot,Warwick Street,5
26/07/2018,Excel Level 3,Surrey House,3
18/12/2018,Power Query & Power Pivot,Dover Court,7
19/03/2018,Power BI Introduction,Hampton,3
07/01/2018,Excel PivotTables,Warwick Street,3
28/04/2018,Excel Dashboards,Warwick Street,3
21/12/2018,Excel Level 3,Warwick Street,5
08/11/2018,Excel Level 3,Warwick Street,3
05/02/2018,Excel Level 3,Dover Court,4
26/12/2018,Excel Level 2,Warwick Street,5
23/01/2018,Excel Level 2,Hampton,5
09/12/2018,Power Query & Power Pivot,Hampton,3
31/12/2018,Power BI Introduction,Dover Court,3
19/07/2018,Excel Level 3,Hampton,3
12/08/2018,Excel Level 1,Surrey House,3
28/03/2018,Excel Level 3,Dover Court,5
06/12/2018,Excel Level 3,Warwick Street,3
22/09/2018,Excel Dashboards,Dover Court,5
02/08/2018,Excel Level 3,Warwick Street,5
14/06/2018,Excel PivotTables,Surrey House,5
24/06/2018,Mastering DAX,Hampton,3
10/05/2018,Power Query & Power Pivot,Surrey House,5
27/09/2018,Excel Level 2,Dover Court,8
13/06/2018,Excel Level 3,Warwick Street,3
04/12/2018,Excel Level 3,Hampton,5
24/11/2018,Excel Formulas and Functions,Warwick Street,3
29/04/2018,Excel PivotTables,Dover Court,7
26/11/2018,Excel Level 1,Warwick Street,9
29/11/2018,Excel Level 2,Surrey House,7
22/11/2018,Mastering DAX,Dover Court,5
01/09/2018,Excel Level 3,Warwick Street,9
05/04/2018,Excel Dashboards,Warwick Street,7
15/06/2018,Excel Formulas and Functions,Dover Court,4
15/11/2018,Excel Level 1,Surrey House,3
06/12/2018,Excel Formulas and Functions,Hampton,9
27/10/2018,Excel Level 2,Warwick Street,3
28/11/2018,Excel Level 3,Dover Court,3
29/04/2018,Excel Formulas and Functions,Warwick Street,7
29/10/2018,Excel Level 1,Warwick Street,3
24/11/2018,Power Query & Power Pivot,Hampton,1
07/12/2018,Excel Level 3,Warwick Street,7
08/01/2018,Excel Dashboards,Hampton,3
10/06/2018,Excel Level 3,Hampton,2
10/11/2018,Excel Dashboards,Warwick Street,2
12/07/2018,Excel Level 3,Hampton,3
26/04/2018,Excel Best Practise & Tips,Hampton,3
04/05/2018,Excel Level 3,Surrey House,3
16/06/2018,Excel Level 3,Warwick Street,10
23/06/2018,Mastering DAX,Surrey House,9
04/12/2018,Excel Best Practise & Tips,Hampton,3
28/11/2018,Excel Level 3,Hampton,5
22/06/2018,Excel Level 1,Warwick Street,5
05/12/2018,Mastering DAX,Surrey House,1
08/03/2018,Excel Level 3,Hampton,5
13/07/2018,Mastering DAX,Hampton,10
27/09/2018,Excel Level 2,Warwick Street,3
13/08/2018,Excel PivotTables,Dover Court,5
15/10/2018,Excel Best Practise & Tips,Hampton,3
10/02/2018,Excel Level 3,Dover Court,3
12/01/2018,Excel Level 3,Warwick Street,5
03/08/2018,Mastering DAX,Hampton,3
18/11/2018,Excel Level 3,Warwick Street,3
28/09/2018,Excel Level 2,Warwick Street,5
03/04/2018,Mastering DAX,Dover Court,5
12/12/2018,Excel Best Practise & Tips,Warwick Street,5
02/10/2018,Excel Level 3,Dover Court,4
17/08/2018,Excel Level 3,Hampton,1
16/12/2018,Excel Best Practise & Tips,Hampton,7
20/12/2018,Excel Level 3,Hampton,3
27/11/2018,Excel Dashboards,Warwick Street,5
30/08/2018,Excel PivotTables,Surrey House,7
02/05/2018,Power Query & Power Pivot,Warwick Street,3
23/02/2018,Excel Level 3,Dover Court,2
28/03/2018,Excel Level 1,Hampton,5
02/04/2018,Excel Level 1,Surrey House,3
19/11/2018,Excel Level 2,Surrey House,2
23/11/2018,Excel Dashboards,Warwick Street,7
14/10/2018,Excel Level 3,Hampton,3
13/04/2018,Power Query & Power Pivot,Dover Court,10
23/11/2018,Excel Best Practise & Tips,Dover Court,5
24/11/2018,Excel Level 3,Warwick Street,3
19/03/2018,Excel Level 2,Warwick Street,7
08/06/2018,Excel Formulas and Functions,Dover Court,5
27/12/2018,Excel PivotTables,Warwick Street,10
05/02/2018,Excel Level 3,Warwick Street,5
18/12/2018,Excel Level 1,Dover Court,5
18/04/2018,Excel Level 1,Warwick Street,3
07/01/2018,Excel Formulas and Functions,Dover Court,3
25/02/2018,Excel Dashboards,Warwick Street,7
29/11/2018,Excel Level 3,Dover Court,2
30/11/2018,Excel Level 3,Dover Court,3
01/08/2018,Excel Formulas and Functions,Warwick Street,3
10/12/2018,Excel Level 3,Warwick Street,7
26/02/2018,Excel Best Practise & Tips,Dover Court,7
29/01/2018,Excel Level 3,Dover Court,5
14/04/2018,Excel Level 3,Hampton,3
12/12/2018,Mastering DAX,Surrey House,3
25/01/2018,Excel Dashboards,Warwick Street,5
27/01/2018,Excel Level 1,Warwick Street,3
14/12/2018,Excel Best Practise & Tips,Warwick Street,10
24/12/2018,Excel Level 3,Warwick Street,3
22/03/2018,Excel Dashboards,Surrey House,7
11/01/2018,Excel Level 3,Warwick Street,3
20/12/2018,Excel Level 3,Hampton,5
30/11/2018,Excel Dashboards,Surrey House,5
01/05/2018,Excel Level 1,Warwick Street,5
27/05/2018,Excel VBA,Warwick Street,5
08/11/2018,Mastering DAX,Surrey House,5
04/11/2018,Mastering DAX,Warwick Street,3
30/12/2018,Mastering DAX,Warwick Street,5
27/12/2018,Excel VBA,Hampton,5
04/03/2018,Excel Level 1,Warwick Street,7
25/12/2018,Excel Level 3,Warwick Street,3
26/07/2018,Excel Level 3,Warwick Street,2
11/10/2018,Excel Formulas and Functions,Warwick Street,5
21/10/2018,Mastering DAX,Warwick Street,3
02/11/2018,Excel Level 3,Dover Court,5
21/05/2018,Excel Formulas and Functions,Dover Court,3
01/06/2018,Excel Level 1,Hampton,5
05/12/2018,Excel Level 3,Hampton,5
27/09/2018,Power BI Introduction,Surrey House,7
27/07/2018,Excel Best Practise & Tips,Hampton,2
13/04/2018,Excel Level 1,Warwick Street,3
18/05/2018,Excel Level 3,Surrey House,5
12/07/2018,Mastering DAX,Warwick Street,1
15/12/2018,Excel VBA,Dover Court,5
27/08/2018,Excel Dashboards,Warwick Street,3
12/05/2018,Excel Level 3,Surrey House,3
10/06/2018,Power BI Introduction,Hampton,7
27/03/2018,Excel Formulas and Functions,Dover Court,5
28/08/2018,Excel Dashboards,Surrey House,10
21/11/2018,Excel Level 3,Hampton,5
17/03/2018,Excel Formulas and Functions,Warwick Street,3
19/08/2018,Excel Level 3,Warwick Street,5
27/01/2018,Excel PivotTables,Warwick Street,3
25/01/2018,Mastering DAX,Dover Court,3
19/11/2018,Mastering DAX,Warwick Street,5
24/12/2018,Excel Level 3,Warwick Street,5
26/07/2018,Excel VBA,Surrey House,3
14/04/2018,Excel Dashboards,Warwick Street,3
14/12/2018,Excel Best Practise & Tips,Warwick Street,3
29/07/2018,Power BI Introduction,Dover Court,3
01/12/2018,Excel Level 1,Warwick Street,5
08/04/2018,Excel Best Practise & Tips,Surrey House,3
07/06/2018,Mastering DAX,Warwick Street,3
24/11/2018,Power Query & Power Pivot,Warwick Street,3
09/09/2018,Mastering DAX,Dover Court,3
27/03/2018,Excel Dashboards,Dover Court,3
07/10/2018,Excel Dashboards,Warwick Street,3
10/05/2018,Power BI Introduction,Surrey House,5
06/11/2018,Excel Level 2,Warwick Street,5
04/06/2018,Power Query & Power Pivot,Surrey House,3
19/02/2018,Excel Level 2,Hampton,5
31/12/2018,Excel Formulas and Functions,Surrey House,3
26/12/2018,Mastering DAX,Dover Court,7
30/04/2018,Excel Level 3,Warwick Street,5
13/04/2018,Excel Level 3,Hampton,3
29/11/2018,Excel Formulas and Functions,Warwick Street,2
13/08/2018,Excel Level 1,Warwick Street,3
08/12/2018,Excel Formulas and Functions,Dover Court,5
20/11/2018,Power BI Introduction,Hampton,3
31/10/2018,Mastering DAX,Warwick Street,5
21/08/2018,Mastering DAX,Hampton,3
23/10/2018,Excel Level 3,Dover Court,2
23/12/2018,Excel Formulas and Functions,Hampton,5
24/01/2018,Excel Level 2,Warwick Street,1
08/05/2018,Excel Level 2,Warwick Street,7
19/11/2018,Excel Dashboards,Dover Court,3
20/05/2018,Excel Dashboards,Surrey House,7
